Time  Temperature  Salinity  Oxygen  pH     
2045  13.233       33.5317   209.86  7.999  
2100  13.300       33.4850   209.84  8.001  
2114  13.269       33.4960   208.82  7.998  
2129  13.261       33.4764   207.71  7.995  
2145  13.284       33.4921   207.39  7.999  
2200  13.259       33.4959   207.10  7.998  
2215  13.270       33.4837   206.71  8.001  
2230  13.281       33.5134   206.88  8.005  
2244  13.240       33.4893   207.70  8.000  
2259  13.286       33.4727   207.87  8.000  
2315  13.260       33.4926   208.91  8.001  
2330  13.295       33.5002   207.93  7.999  
2345  13.209       33.5432   207.29  7.999  
0000  13.226       33.5133   206.30  7.994  
0014  13.295       33.4834   207.09  7.993  
0029  13.380       33.5243   210.78  8.007  
0045  13.504       33.4631   214.81  8.014  
0100  13.665       33.5093   220.10  8.028  
0115  13.880       33.6314   228.26  8.043  
0130  13.820       33.6402   230.36  8.050  
0144  13.983       33.6147   233.19  8.048  
0159  14.135       33.5919   235.33  8.054  
0215  14.744       33.6201   242.64  8.066  
0230  15.151       33.7468   246.89  8.076  
0245  15.752       33.6727   249.92  8.078  
0300  15.469       33.5831   253.52  8.085  
0314  15.631       33.5907   252.98  8.086  
0329  15.611       33.6063   253.79  8.088  
0345  15.280       33.6219   252.46  8.087  
0400  15.602       33.6375   249.49  8.083  
0415  15.194       33.6505   248.82  8.074  
0430  15.584       33.6634   249.79  8.080  
0444  15.119       33.5084   249.28  8.075  
0459  15.179       33.5498   246.96  8.075  
0515  15.040       33.5912   245.58  8.071  
0530  14.616       33.6315   243.26  8.066  
0545  14.506       33.4794   240.89  8.060  
0600  14.421       33.5329   238.82  8.067  
0614  14.296       33.5864   238.10  8.051  
0629  14.129       33.5837   234.89  8.053  
0645  14.094       33.5382   235.81  8.057  
0700  14.085       33.4955   233.66  8.054  
0715  13.959       33.5095   230.77  8.039  
0730  13.823       33.5297   230.22  8.041  
0744  13.846       33.5481   229.90  8.044  
0759  13.861       33.6047   230.20  8.044  
0815  13.825       33.4636   229.39  8.046  
0830  13.789       33.5397   228.25  8.043  
0845  13.480       33.5243   228.15  8.041  
0900  13.518       33.6099   226.13  8.040  
0914  13.506       33.5908   224.40  8.036  
0929  13.602       33.6425   224.55  8.037  
0945  13.587       33.4833   224.87  8.044  
1000  13.883       33.5558   224.49  8.033  
1015  13.930       33.5947   228.80  8.045  
1030  13.857       33.6204   231.35  8.051  
1044  14.232       33.6460   232.71  8.063  
1059  14.199       33.7259   239.36  8.071  
1115  14.215       33.6649   239.23  8.069  
1130  14.034       33.6038   238.06  8.064  
1145  13.826       33.5428   235.52  8.057  
1200  13.882       33.4706   234.80  8.044  
1214  14.052       33.5305   231.71  8.041  
1229  14.078       33.5678   231.86  8.044  
1245  14.906       33.5543   237.51  8.066  
1300  14.631       33.6663   245.24  8.090  
1315  14.876       33.6231   249.58  8.087  
1330  15.488       33.6094   251.39  8.088  
1344  15.155       33.5956   253.74  8.089  
1359  15.054       33.6015   251.39  8.079  
1415  16.149       33.5957   255.96  8.093  
